region,top_words
창원,"공원, 벚꽃, 장미, 저수지, 사진, 아이, 다리, 바다, 공간, 계곡"
진해,"벚꽃, 좌천, 경화역, 공원, 사진, 명소, 다리, 지엄, 군항제, 로망스"
마산,"바다, 드라마, 해양, 사진, 세트, 아이, 장수, 로봇, 다리, 카페"
진주,"진주성, 박물관, 진양호, 아이, 촉석루, 남강, 유등, 사진, 전시관, 공원"
통영,"동피랑, 마을, 벽화, 공원, 카페, 바다, 사진, 아이, 케이블카, 디피랑"
사천,"바다, 케이블카, 글램핑, 비토, 아이, 사진, 빌라, 정류장, 도로, 전망대"
김해,"가야, 박물관, 아이, 체험, 공원, 국립, 수로왕릉, 사진, 대통령, 파크"
밀양,"체험, 아이, 사진, 공원, 영남루, 표충사, 테마, 풍경, 공간, 터널"
거제,"사진, 바다, 수국, 거제도, 매미, 바람, 아이, 마을, 카페, 체험"
양산,"통도사, 매화, 사찰, 홍룡, 사진, 계곡, 축제, 카페, 마을, 폭포"
의령,"바위, 부자, 아이, 의병, 체험, 생가, 정암, 일붕사, 이병철, 축제"
함안,"해바라기, 축제, 공원, 강주, 사진, 생태, 마을, 고분, 악양, 연꽃"
창녕,"우포늪, 벚꽃, 사진, 만년, 다리, 체험, 남지, 축제, 공원, 유채꽃"
고성,"공룡, 공원, 상족암, 박물관, 연꽃, 수국, 군립, 사진, 아이, 발자국"
남해,"마을, 독일, 바다, 보리암, 사진, 카페, 유자, 스카이, 풍경, 멸치"
하동,"벚꽃, 장터, 쌍계사, 카페, 참판, 맛집, 지리산, 사진, 섬진강, 녹차"
산청,"선사, 사찰, 축제, 동의보감, 꽃잔디, 지리산, 황매산, 체험, 정취, 공원"
함양,"지리산, 상림, 공원, 체험, 와인, 계곡, 마을, 사진, 하미, 개평"
거창,"창포, 다리, 승대, 축제, 사진, 감악산, 사과, 풍경, 힐링, 구경"
합천,"해인사, 파크, 테마, 황매산, 공원, 사진, 세트, 팔만대장경, 구경, 체험"
